Normal Patient Waiting Time,Normal Patient Server Time,Normal patientt service time
0,15.789754400408508,15.789754400408508
Reneged,Reneged,Reneged
12.061274050319899,24.399153653624193,12.337879603304295
15.022211760671665,24.56745656684845,9.545244806176788
23.53627083057415,32.60971904414485,9.073448213570707
24.705619981196993,29.87932641328182,5.173706432084825
Reneged,Reneged,Reneged
20.02920798658511,31.617632196871174,11.588424210286066
Reneged,Reneged,Reneged
21.260446899632925,33.444532332585624,12.184085432952696
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
14.32577891052864,29.61471328753416,15.288934377005514
Reneged,Reneged,Reneged
24.833307797247784,33.8402166610322,9.006908863784421
Reneged,Reneged,Reneged
26.15658657766639,42.519059354713676,16.36247277704728
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
24.134380754711046,33.65777418122171,9.523393426510665
Reneged,Reneged,Reneged
30.393678719746816,44.254927274716664,13.861248554969855
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
24.478027052626643,45.04830760195877,20.570280549332114
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
16.89860695669799,32.55438785149411,15.655780894796111
23.906649350362073,35.62567747496797,11.719028124605897
Reneged,Reneged,Reneged
19.5712394518321,25.346861220066415,5.775621768234322
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
15.271048986667665,30.26185992564612,14.990810938978445
Reneged,Reneged,Reneged
22.708099131420482,33.48868024711945,10.780581115698968
Reneged,Reneged,Reneged
22.90235307239945,31.882581729594705,8.980228657195243
18.67785934678423,30.19852252462408,11.520663177839863
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
21.31436317697805,39.25297557872332,17.938612401745264
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
27.645374788677685,33.27260096985603,5.627226181178348
19.576783696171134,35.42358439030872,15.846800694137565
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
24.519626116283973,35.74169381798072,11.22206770169674
18.21583601390506,32.7226926248257,14.506856610920657
30.12694057449073,35.44559019412429,5.3186496196335415
Reneged,Reneged,Reneged
16.33419204011244,25.734758833218052,9.400566793105606
17.58765070255555,33.31338111829973,15.725730415744206
